Length,13,15,18,19,23,25,30,31,37,39,46,48,60,62
10,270,353,587,700,1100,1370,2590,2990,4510,5037,9600,10700,18600,21600
25,166,220,374,444,709,876,1620,1870,2890,3258,6040,6780,11900,13700
30,151,200,342,405,650,801,1480,1700,2640,2987,5510,6200,10900,12500
40,129,172,297,351,567,696,1270,1470,2300,2605,4760,5380,9440,10900
50,115,154,266,314,510,624,1140,1310,2060,2343,4260,4820,8470,9720
75,93,124,218,257,420,512,922,1070,1690,1932,3470,3950,6940,7940
80,89,120,211,249,407,496,892,1030,1640,1874,3360,3820,6730,7690
100,79,107,189,222,366,445,795,920,1470,1685,3000,3420,6030,6880
150,64,87,155,182,302,364,646,748,1210,1389,2440,2800,4940,5620
200,55,75,135,157,263,317,557,645,1050,1212,2110,2430,4290,4870
250,49,67,121,141,236,284,497,576,941,1090,1890,2180,3850,4360
300,44,61,110,129,217,260,453,525,862,999,1720,1990,3520,3980
400,38,52,96,111,189,225,390,453,749,871,1490,1730,3060,3450
500,34,46,86,100,170,202,348,404,552,783,1300,1550,2740,3090