Length,(1/2,SDR9.3,0.660),(3/4,SDR11,0.860),(1,SDR11,1.077),(1-1/4,SDR10,1.328),(1-1/2,SDR11,1.554),(2,SDR11,1.943),(3,SDR11,2.864),(4,SDR11,3.682)
10,201,403,726,1260,1900,3410,9450,18260
20,138,277,499,865,1310,2350,6490,12550
30,111,222,401,695,1050,1880,5210,10080
40,95,190,343,594,898,1610,4460,8630
50,84,169,304,527,796,1430,3950,7640
60,76,153,276,477,721,1300,3580,6930
70,70,140,254,439,663,1190,3300,6370
80,65,131,236,409,617,1110,3070,5930
90,61,123,221,383,579,1040,2880,5560
100,58,116,209,362,547,983,2720,5250
125,51,103,185,321,485,871,2410,4660
150,46,93,168,291,439,789,2180,4220
175,43,86,154,268,404,726,2010,3880
200,40,80,144,249,376,675,1870,3610
250,35,71,127,221,333,598,1660,3200
300,32,64,115,200,302,542,1500,2900
350,29,59,106,184,278,499,1380,2670
400,27,55,99,171,258,464,1280,2480
450,26,51,93,160,242,435,1200,2330
500,24,48,88,152,229,411,1140,2200