Nominal OD,1/2,3/4,1,1-1/4,1-1/2,2,3,4
Designation,SDR 9.3,SDR 11,SDR 11,SDR 10,SDR 11,SDR 11,SDR 11,SDR 11
Actual ID,0.660,0.860,1.077,1.328,1.554,1.943,2.864,3.682
Length,Capacity In Cubic Feet Of Gas Per Hour
10,3130,6260,11300,19600,29500,53100,147000,284000
20,2150,4300,7760,13400,20300,36500,101000,195000
30,1730,3450,6230,10800,16300,29300,81100,157000
40,1480,2960,5330,9240,14000,25100,69400,134000
50,1310,2620,4730,8190,12400,22200,61500,119000
60,1190,2370,4280,7420,11200,20100,55700,108000
70,1090,2180,3940,6830,10300,18500,51300,99100
80,1010,2030,3670,6350,9590,17200,47700,92200
90,952,1910,3440,5960,9000,16200,44700,86500
100,899,1800,3250,5630,8500,15300,42300,81700
125,797,1600,2880,4990,7530,13500,37500,72400
150,722,1450,2610,4520,6830,12300,33900,65600
175,664,1330,2400,4160,6280,11300,31200,60300
200,618,1240,2230,3870,5840,10500,29000,56100
250,548,1100,1980,3430,5180,9300,25700,49800
300,496,994,1790,3110,4690,8430,23300,45100
350,457,914,1650,2860,4320,7760,21500,41500
400,425,851,1530,2660,4020,7220,20000,38600
450,399,798,1440,2500,3770,6770,18700,36200
500,377,754,1360,2360,3560,6390,17700,34200
550,358,716,1290,2240,3380,6070,16800,32500
600,341,683,1230,2140,3220,5790,16000,31000
650,327,654,1180,2040,3090,5550,15400,29700
700,314,628,1130,1960,2970,5330,14700,28500
750,302,605,1090,1890,2860,5140,14200,27500
800,292,585,1050,1830,2760,4960,13700,26500
850,283,566,1020,1770,2670,4800,13300,25700
900,274,549,990,1710,2590,4650,12900,24900
950,266,533,961,1670,2520,4520,12500,24200
1000,259,518,935,1620,2450,4400,12200,23500
1100,246,492,888,1540,2320,4170,11500,22300
1200,234,470,847,1470,2220,3980,11000,21300
1300,225,450,811,1410,2120,3810,10600,20400
1400,216,432,779,1350,2040,3660,10100,19600
1500,208,416,751,1300,1960,3530,9760,18900
1600,201,402,725,1260,1900,3410,9430,18200
1700,194,389,702,1220,1840,3300,9130,17600
1800,188,377,680,1180,1780,3200,8850,17100
1900,183,366,661,1140,1730,3110,8590,16600
2000,178,356,643,1110,1680,3020,8360,16200